id_indicator,id_parent_indicator,slug,name,id_dimension,id_granularity,explanation,potential_use,assumptions,desired_value,function_name,formalization_latex,formalization_fp,description_fp
15,,activity-instance-count-group-of-cases-granularity-t-g,activity Instance count (group of cases granularity),5,3,Number of times that any activity is instantiated in a group of cases.,"If the event log does not contain timestamps, activity Instance count can be used as a proxy for the time performance of a group of cases.",A greater number of activity instances implies that the cases in a group of cases take longer to complete.,minimize,\(\mathit{I(g)\),\(\sum _{c \in g} \mathit{I(c)\),\(\sum_{c \in \mathit{cases(g)} \mathit{I(c)\),"$\mathit{cases(g)$ returns the set of cases in group of cases $g$.
\newline $\mathit{I(c)$ returns the activity instance count of case $c$.
\\"
16,,activity-instance-count-by-human-resource-activity-granularity-q-a,activity Instance count by Human Resource (activity granularity),4,1,Number of times a specific human resource performs an activity in the event log.,Process where individual performance of human resources is relevant.,Maximizing the number of activities conducted by the same human resource is desirable.,maximize,"\(\mathit{IbyHR(a, \mathit{hr)\)",\(|\{i \in \mathit{inst(a) \mid \mathit{hres(i) = \mathit{hr\}|\),"\(\displaystyle \sum_{i \in \mathit{inst(a)}
\begin{cases}
1 & \text{if } \mathit{hres(i) = \mathit{hr \\
0 & \text{otherwise}
\end{cases}
\)","\(\mathit{inst(a)\) returns the set of all instances of activity \(a\).
\newline \(\mathit{hres(i)\) returns the human resource associated with activity instance \(i\). \\"
17,,activity-instance-count-by-human-resource-case-granularity-q-c,activity Instance count by Human Resource (case granularity),4,2,Number of times a specific human resource instantiates any activity in a case.,Process where individual performance of human resources is relevant.,Maximizing the number of activities conducted by the same human resource is desirable.,maximize,"\(\mathit{IbyHR(c, \mathit{hr)\)",\(|\{i \in \mathit{inst(c) \mid \mathit{hres(i) = \mathit{hr\}|\),"\(\displaystyle \sum_{i \in \mathit{inst(c)}
\begin{cases}
1 & \text{if } \mathit{hres(i) = \mathit{hr \\
0 & \text{otherwise}
\end{cases}
\)","\(\mathit{inst(c)\) returns the set of all activity instances in case \(c\).
\newline \(\mathit{hres(i)\) returns the human resource associated with activity instance \(i\). \\"
18,,activity-instance-count-by-human-resource-group-of-cases-granularity-q-g,activity Instance count by Human Resource (group of cases granularity),4,3,Number of times a specific human resource instantiates any activity in a group of cases.,Process where individual performance of human resources is relevant.,Maximizing the number of activities conducted by the same human resource is desirable.,maximize,"\(\mathit{IbyHR(g, \mathit{hr)\)","\(\sum _{c \in g} \mathit{IbyHR(c, \mathit{hr)\)","\(\sum _{c \in g} \mathit{IbyHR(c, \mathit{hr)\)","\(\mathit{IbyHR(c, \mathit{hr)\) returns the activity instance count by human resource \(\mathit{hr\) in case \(c\). \\"
19,,activity-instance-count-by-role-case-granularity-q-c,activity Instance count by Role (case granularity),4,2,Number of times that any activity is instantiated by a specific role in a case.,Process where performance of human resources with certain roles is relevant.,Maximizing the number of activities conducted by human resources with the specific role is desirable.,maximize,"\(\mathit{IbyRole(c, \mathit{rl)\)",\(|\{i \in \mathit{inst(c) \mid \mathit{role(i) = \mathit{rl\}|\),"\(\displaystyle \sum_{i \in \mathit{inst(c)}
\begin{cases}
1 & \text{if } \mathit{role(i) = \mathit{rl \\
0 & \text{otherwise}
\end{cases}
\)","\(\mathit{inst(c)\) returns the set of all activity instances in case \(c\).
\newline \(\mathit{role(i)\) returns the role associated with activity instance \(i\). \\"
20,,activity-instance-count-by-role-group-of-cases-granularity-q-g,activity Instance count by Role (group of cases granularity),4,3,Number of times that any activity is instantiated by a specific role in a group of cases.,Process where performance of human resources with certain roles is relevant.,Maximizing the number of activities conducted by the same role is desirable.,maximize,"\(\mathit{IbyRole(g, \mathit{rl)\)","\(\sum _{c \in g} \mathit{IbyRole(c, \mathit{rl)\)","\(\sum _{c \in g} \mathit{IbyRole(c, \mathit{rl)\)","\(\mathit{IbyRole(c, \mathit{rl)\) returns the activity instance count by role \(\mathit{rl\) in case \(c\). \\"
21,,automated-activity-cost-case-granularity-c-c,Automated Activity Cost (case granularity),1,2,Total cost associated with all instantiations of automated activities in a case.,Event log that contains automated activities and cost information.,Minimizing total cost is desirable.,minimize,"\(\mathit{AutC\mathit{^{\times(c)\)
\newline \newline \(\mathit{\times \in \{\mathit{sgl, \mathit{sum\}\)","\(\sum _{i \in \mathit{inst(c), \mathit{act(i) \in \mathit{Autl} \mathit{TC\mathit{^{\times(i)\)
\newline \newline The $\mathit{\times$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times \in \{\mathit{sgl, \mathit{sum\}$. If $\mathit{\times = \mathit{sgl$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{TC\mathit{^{sgl$; if $\mathit{\times = \mathit{sum$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{TC\mathit{^{sum$.","\(\sum _{i \in \mathit{inst(c), \mathit{act(i) \in \mathit{Autl} \mathit{TC(i)\)","\(\mathit{inst(c)\) returns the set of all activity instances in case \(c\).
\newline \(\mathit{act(i)\) returns the activity of activity instance \(i\).
\newline \(\mathit{Autl\) returns the set of automated activities.
\newline \(\mathit{TC(i)\) returns the cost of activity instance \(i\). \\"
22,,automated-activity-cost-group-of-cases-granularity-c-g,Automated Activity Cost (group of cases granularity),1,3,Total cost associated with all instantiations of automated activities in a group of cases.,Event log that contains automated activities and cost information.,Minimizing total cost is desirable.,minimize,"\(\mathit{AutC\mathit{^{\times(g)\)
\newline \newline \(\mathit{\times \in \{\mathit{sgl, \mathit{sum\}\)","\(\sum _{c \in g} \mathit{AutC\mathit{^{\times(c)\)
\newline \newline The $\mathit{\times$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times \in \{\mathit{sgl, \mathit{sum\}$. If $\mathit{\times = \mathit{sgl$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{AutC\mathit{^{sgl$; if $\mathit{\times = \mathit{sum$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{AutC\mathit{^{sum$.",\(\sum _{c \in g} \mathit{AutC(c)\),\(\mathit{AutC(c)\) returns the automated activity cost for case \(c\). \\
23,,automated-activity-count-case-granularity-q-c,Automated Activity count (case granularity),4,2,Number of automated activities that occur in a case.,Event log that contains automated activities.,"Automated activities yield more reliable, higher-quality results.",maximize,\(\mathit{Auta(c)\),\(|\mathit{Autl \cap \mathit{act(c)|\),"\(\sum_{a \in \mathit{act(c)} 
\begin{cases}
1 & \text{if } a \text{ is automated} \\
0 & \text{otherwise}
\end{cases}\)",$\mathit{act(c)$ returns the set of unique activities that occur in case $c$.\\
24,,automated-activity-count-group-of-cases-granularity-q-g,Automated Activity count (group of cases granularity),4,3,Number of automated activities that occur in a group of cases.,Event log that contains automated activities.,"Automated activities yield more reliable, higher-quality results.",maximize,\(\mathit{Auta(g)\),\(|\mathit{Autl \cap (\cup_{c \in g} \mathit{act(c))|\),"\(\sum_{a \in \mathit{act(g)} 
\begin{cases}
1 & \text{if } a \text{ is automated} \\
0 & \text{otherwise}
\end{cases}\)",$\mathit{act(g)$ returns the set of unique activities that occur in group of cases $g$.\\
25,,automated-activity-count-case-granularity-t-c,Automated Activity count (case granularity),5,2,Number of automated activities that occur in a case.,Event log that contains automated activities.,Automated activities take less time to be executed.,maximize,\(\mathit{Auta(c)\),\(|\mathit{Autl \cap \mathit{act(c)|\),"\(\sum_{a \in \mathit{act(c)} 
\begin{cases}
1 & \text{if } a \text{ is automated} \\
0 & \text{otherwise}
\end{cases}\)",$\mathit{act(c)$ returns the set of unique activities that occur in case $c$.\\
26,,automated-activity-count-group-of-cases-granularity-t-g,Automated Activity count (group of cases granularity),5,3,Number of automated activities that occur in a group of cases.,Event log that contains automated activities.,Automated activities take less time to be executed.,maximize,\(\mathit{Auta(g)\),\(|\mathit{Autl \cap (\cup_{c \in g} \mathit{act(c))|\),"\(\sum_{a \in \mathit{act(g)} 
\begin{cases}
1 & \text{if } a \text{ is automated} \\
0 & \text{otherwise}
\end{cases}\)",$\mathit{act(g)$ returns the set of unique activities that occur in group of cases $g$.\\
27,,automated-activity-instance-count-case-granularity-q-c,Automated activity Instance count (case granularity),4,2,Number of times that an automated activity is instantiated in a case.,Event log that contains automated activities.,"Automated activities yield more reliable, higher-quality results.",maximize,\(\mathit{Auti(c)\),\(|\{i \in \mathit{inst(c) \mid \mathit{act(i) \in \mathit{Autl\}|\),"\(\sum_{i \in \mathit{inst(c)}
\begin{cases}
1 & \text{if } \mathit{act(i) \text{ is automated} \\
0 & \text{otherwise}
\end{cases}\)","$\mathit{inst(c)$ returns the set of activity instances that occur in case $c$.
\newline $\mathit{act(i)$ returns the activity associated to activity instance $i$.\\"
28,,automated-activity-instance-count-group-of-cases-granularity-q-g,Automated activity Instance count (group of cases granularity),4,3,Number of times that an automated activity is instantiated in a group of cases.,Event log that contains automated activities.,"Automated activities yield more reliable, higher-quality results.",maximize,\(\mathit{Auti(g)\),\(\sum _{c \in g} \mathit{Auti(c)\),\(\sum _{c \in g} \mathit{Auti(c)\),\(\mathit{Auti(c)\) returns the automated activity instance count for case \(c\). \\
29,,automated-activity-instance-count-case-granularity-t-c,Automated activity Instance count (case granularity),5,2,Number of times that an automated activity is instantiated in a case.,Event log that contains automated activities.,Automated activities take less time to be executed.,maximize,\(\mathit{Auti(c)\),\(|\{i \in \mathit{inst(c) \mid \mathit{act(i) \in \mathit{Autl\}|\),"\(\sum_{i \in \mathit{inst(c)}
\begin{cases}
1 & \text{if } \mathit{act(i) \text{ is automated} \\
0 & \text{otherwise}
\end{cases}\)","$\mathit{inst(c)$ returns the set of activity instances that occur in case $c$.
\newline $\mathit{act(i)$ returns the activity associated to activity instance $i$.\\"
30,,automated-activity-instance-count-group-of-cases-granularity-t-g,Automated activity Instance count (group of cases granularity),5,3,Number of times that an automated activity is instantiated in a group of cases.,Event log that contains automated activities.,Automated activities take less time to be executed.,maximize,\(\mathit{Auti(g)\),\(\sum _{c \in g} \mathit{Auti(c)\),\(\sum_{c \in \mathit{cases(g)} \mathit{Auti(c)\),"$\mathit{cases(g)$ returns the set of cases in group of cases $g$.
\newline $\mathit{Auti(c)$ returns the automated activity instance count of case $c$.\\"
31,,automated-activity-service-time-case-granularity-t-c,Automated Activity Service Time (case granularity),5,2,Sum of the service time of all instantiations of automated activities in a case.,Event log that contains automated activities and lifecycle information for activity instances.,Minimizing service time is desirable.,minimize,\(\mathit{AutST(c)\),"\(\sum _{i \in \mathit{inst(c), \mathit{act(i) \in \mathit{Autl} \mathit{ST(i)\)","\(\sum_{i \in \mathit{inst(c),\, \mathit{act(i) \in \mathit{Autl} \mathit{ST(i)\)","$\mathit{inst(c)$ returns the set of activity instances that occur in case $c$.
\newline $\mathit{act(i)$ returns the activity associated with activity instance $i$.
\newline $\mathit{Autl$ denotes the set of automated activities.
\newline $\mathit{ST(i)$ returns the service time of activity instance $i$.\\"
32,,automated-activity-service-time-group-of-cases-granularity-t-g,Automated Activity Service Time (group of cases granularity),5,3,Sum of the service time of all instantiations of automated activities in a group of cases.,Event log that contains automated activities and lifecycle information for activity instances.,Minimizing service time is desirable.,minimize,\(\mathit{AutST(g)\),\(\sum _{c \in g} \mathit{AutST(c)\),\(\sum_{c \in \mathit{cases(g)} \mathit{AutST(c)\),"$\mathit{cases(g)$ returns the set of cases that belong to group of cases $g$.
\newline$\mathit{AutST(c)$ returns the automated activity service time of case $c$.\\"
33,,case-and-client-count-ratio-group-of-cases-granularity-q-g,Case and Client count Ratio (group of cases granularity),4,3,Ratio between the number of cases in a group of cases and the number of distinct clients associated with cases in a group of cases.,Process is executed for different clients.,It is desirable to maximize the number of cases per client.,maximize,\(\mathit{CCliR(g)\),\(\frac{\mathit{C(g)}{\mathit{Cli(g)}\),\(\frac{\mathit{C(g)}{\mathit{Cli(g)}\),"\(\mathit{C(g)\) returns the number of cases in group \(g\).
\newline \(\mathit{Cli(g)\) returns the number of clients associated with group \(g\). \\"
34,,case-count-group-of-cases-granularity-g-g,Case count (group of cases granularity),3,3,Number of cases belonging to a group of cases.,Calculation of several other PPIs.,,,\(\mathit{C(g)\),\(|g|\),\(\mathit{count(\mathit{cases(g))\),$\mathit{cases(g)$ returns the set of cases in group of cases $g$. \\
35,,case-count-where-activity-after-time-frame-group-of-cases-granularity-q-g,Case Count where Activity after Time Frame (group of cases granularity),4,3,Number of cases in a group of cases where a specific activity occurs after a specific time frame.,Event log is associated with a process in which specific time frames must be taken into consideration.,Maximizing the number of cases where the activity occurs after the time frame is desirable.,maximize,"\(\mathit{CApastTFC(g, \mathit{a, \mathit{et)\)","\(|\{c \in g \mid \exists i \in \mathit{inst(c, \mathit{a)[\mathit{stime(i) \geq \mathit{et]\}|\)","\(\displaystyle \sum_{c \in g}
\begin{cases}
1 & \text{if } \exists i \in \mathit{inst(c, \mathit{a)[\mathit{stime(i) \geq \mathit{et] \\
0 & \text{otherwise}
\end{cases}
\)","\(\mathit{inst(c, \mathit{a)\) returns the set of all instances of activity \(\mathit{a\) in case \(c\).
\newline \(\mathit{stime(i)\) returns the start timestamp of activity instance \(i\). \\"
36,,case-count-where-activity-before-time-frame-group-of-cases-granularity-q-g,Case Count where Activity before Time Frame (group of cases granularity),4,3,Number of cases in a group of cases where a specific activity occurs before a specific time frame.,Event log is associated with a process in which specific time frames must be taken into consideration.,Maximizing the number of cases where the activity occurs before the time frame is desirable.,maximize,"\(\mathit{CAdueTFC(g, \mathit{a, \mathit{st)\)","\(|\{c \in g \mid \exists i \in \mathit{inst(c, \mathit{a)[\mathit{stime(i) \leq \mathit{st]\}|\)","\(\displaystyle \sum_{c \in g}
\begin{cases}
1 & \text{if } \exists i \in \mathit{inst(c, \mathit{a)[\mathit{stime(i) \leq \mathit{st] \\
0 & \text{otherwise}
\end{cases}
\)","\(\mathit{inst(c, \mathit{a)\) returns the set of all instances of activity \(\mathit{a\) in case \(c\).
\newline \(\mathit{stime(i)\) returns the start timestamp of activity instance \(i\). \\"
37,,case-count-where-activity-during-time-frame-group-of-cases-granularity-q-g,Case Count where Activity during Time Frame (group of cases granularity),4,3,Number of cases in a group of cases where a specific activity occurs within a specific time frame.,Event log is associated with a process in which specific time frames must be taken into consideration.,Maximizing the number of cases where the activity occurs within the time frame is desirable.,maximize,"\(\mathit{CAinTFC(g, \mathit{a, \mathit{st, \mathit{et)\)","\(|\{c \in g \mid \exists i \in \mathit{inst(c, \mathit{a)[\mathit{st \leq \mathit{stime(i) \land \mathit{stime(i) \leq \mathit{et]\}|\)","\(\displaystyle \sum_{c \in g}
\begin{cases}
1 & \text{if } \exists i \in \mathit{inst(c, \mathit{a)[\mathit{st \leq \mathit{stime(i) \land \mathit{stime(i) \leq \mathit{et] \\
0 & \text{otherwise}
\end{cases}
\)","\(\mathit{inst(c, \mathit{a)\) returns the set of all instances of activity \(\mathit{a\) in case \(c\).
\newline \(\mathit{stime(i)\) returns the start timestamp of activity instance \(i\). \\"
38,,case-count-where-end-activity-is-a-group-of-cases-granularity-q-g,Case Count where end activity is A (group of cases granularity),4,3,Number of cases in a group of cases where a specific activity is the last one to be instantiated it.,Process is expected to end with specific activities.,Maximizing the number of cases that end with the specific activity is desirable.,maximize,"\(\mathit{CendAC(g, \mathit{a)\)",\(|\{c \in g \mid \exists i \in \mathit{endin(c)[\mathit{act(i) = \mathit{a]\}|\),"\(\displaystyle \sum_{c \in g}
\begin{cases}
1 & \text{if } \exists i \in \mathit{endin(c)[\mathit{act(i) = \mathit{a] \\
0 & \text{otherwise}
\end{cases}
\)","\(\mathit{endin(c)\) returns the set of last activity instances in case \(c\).
\newline \(\mathit{act(i)\) returns the activity of activity instance \(i\). \\"
39,,case-count-where-start-activity-is-a-group-of-cases-granularity-q-g,Case Count where start activity is A (group of cases granularity),4,3,Number of cases in a group of cases where a specific activity is the first one to be instantiated it.,Process is expected to start with specific activities.,Maximizing the number of cases that start with the specific activity is desirable.,maximize,"\(\mathit{CstartAC(g, \mathit{a)\)",\(|\{c \in g \mid \exists i \in \mathit{strin(c)[\mathit{act(i) = \mathit{a]\}|\),"\(\displaystyle \sum_{c \in g}
\begin{cases}
1 & \text{if } \exists i \in \mathit{strin(c)[\mathit{act(i) = \mathit{a] \\
0 & \text{otherwise}
\end{cases}
\)","\(\mathit{strin(c)\) returns the set of first activity instances in case \(c\).
\newline \(\mathit{act(i)\) returns the activity of activity instance \(i\). \\"
40,,case-count-with-rework-group-of-cases-granularity-q-g,Case Count with Rework (group of cases granularity),4,3,Number of cases in a group of cases where there is rework.,Process where rework recurrently occurs.,Minimizing the number of cases with rework is desirable.,minimize,\(\mathit{CRewC(g)\),\(|\{c \in g \mid \mathit{RewC(c) > 0\}|\),"\(\displaystyle \sum_{c \in g}
\begin{cases}
1 & \text{if } \mathit{RewC(c) > 0 \\
0 & \text{otherwise}
\end{cases}
\)",\(\mathit{RewC(c)\) returns the rework count for case \(c\). \\
41,,case-percentage-where-activity-after-time-frame-group-of-cases-granularity-q-g,Case Percentage where Activity after Time Frame (group of cases granularity),4,3,Percentage of cases in a group of cases where a specific activity occurs after a specific time frame.,Event log is associated with a process in which specific time frames must be taken into consideration.,Maximizing the number of cases where the activity occurs after the time frame is desirable.,maximize,"\(\mathit{CApastTFP(g, \mathit{a, \mathit{et)\)","\(\frac{\mathit{CApastTFC(g, \mathit{a, \mathit{et)}{\mathit{C(g)}\)","\(\frac{\mathit{CApastTFC(g, \mathit{a, \mathit{et)}{\mathit{C(g)}\)","\(\mathit{CApastTFC(g, \mathit{a, \mathit{et)\) returns the case count where activity \(\mathit{a\) starts after time frame \(\mathit{et\) in group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
42,,case-percentage-where-activity-before-time-frame-group-of-cases-granularity-q-g,Case Percentage where Activity before Time Frame (group of cases granularity),4,3,Percentage of cases in a group of cases where a specific activity occurs before a specific time frame.,Event log is associated with a process in which specific time frames must be taken into consideration.,Maximizing the number of cases where the activity occurs before the time frame is desirable.,maximize,"\(\mathit{CAdueTFP(g, \mathit{a, \mathit{st)\)","\(\frac{\mathit{CAdueTFC(g, \mathit{a, \mathit{st)}{\mathit{C(g)}\)","\(\frac{\mathit{CAdueTFC(g, \mathit{a, \mathit{st)}{\mathit{C(g)}\)","\(\mathit{CAdueTFC(g, \mathit{a, \mathit{st)\) returns the case count where activity \(\mathit{a\) starts before time frame \(\mathit{st\) in group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
43,,case-percentage-where-activity-during-time-frame-group-of-cases-granularity-q-g,Case Percentage where Activity during Time Frame (group of cases granularity),4,3,Percentage of cases in a group of cases where a specific activity occurs within a specific time frame.,Event log is associated with a process in which specific time frames must be taken into consideration.,Maximizing the number of cases where the activity occurs within the time frame is desirable.,maximize,"\(\mathit{CAinTFP(g, \mathit{a, \mathit{st, \mathit{et)\)","\(\frac{\mathit{CAinTFC(g, \mathit{a, \mathit{st, \mathit{et)}{\mathit{C(g)}\)","\(\frac{\mathit{CAinTFC(g, \mathit{a, \mathit{st, \mathit{et)}{\mathit{C(g)}\)","\(\mathit{CAinTFC(g, \mathit{a, \mathit{st, \mathit{et)\) returns the case count where activity \(\mathit{a\) starts during the time frame in group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
44,,case-percentage-where-end-activity-is-a-group-of-cases-granularity-q-g,Case Percentage where End Activity is A (group of cases granularity),4,3,Percentage of cases in a group of cases where a specific activity is the last instantiated one.,Process is expected to end with specific activities.,Maximizing the number of cases that end with the specific activity is desirable.,maximize,"\(\mathit{CendAP(g, \mathit{a)\)","\(\frac{\mathit{CendAC(g, \mathit{a)}{\mathit{C(g)}\)","\(\frac{\mathit{CendAC(g, \mathit{a)}{\mathit{C(g)}\)","\(\mathit{CendAC(g, \mathit{a)\) returns the case count where the end activity is \(\mathit{a\) in group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
45,,case-percentage-where-start-activity-is-a-group-of-cases-granularity-q-g,Case Percentage where Start Activity is A (group of cases granularity),4,3,Percentage of cases in a group of cases where a specific activity is the first one to be instantiated it.,Process is expected to start with specific activities.,Maximizing the number of cases that start with the specific activity is desirable.,maximize,"\(\mathit{CstartAP(g, \mathit{a)\)","\(\frac{\mathit{CstartAC(g, \mathit{a)}{\mathit{C(g)}\)","\(\frac{\mathit{CstartAC(g, \mathit{a)}{\mathit{C(g)}\)","\(\mathit{CstartAC(g, \mathit{a)\) returns the case count where the start activity is \(\mathit{a\) in group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
46,,case-percentage-with-missed-deadline-group-of-cases-granularity-q-g,Case Percentage with Missed Deadline (group of cases granularity),4,3,Percentage of cases in a group of cases whose latest event occurs after a given deadline.,Event log is associated with a process in which cases should be completed before a defined deadline.,Exceeding the deadline of interest is undesired.,minimize,"\(\mathit{CMDP(g, \mathit{val)\)",\(\frac{|\{c \in g \mid \mathit{endt(c) > \mathit{val\}|}{\mathit{C(g)}\),"\(\displaystyle \frac{
\sum_{c \in g}
\begin{cases}
1 & \text{if } \mathit{endt(c) > \mathit{val \\
0 & \text{otherwise}
\end{cases}
}{\mathit{C(g)}\)","\(\mathit{endt(c)\) returns the completion timestamp of case \(c\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
