Indicator	Dimension	Granularity	Params	Formalization_fp	Description_fp
Activity Instance count (group of cases granularity)	T	G	\(\mathit{I(g)\)	\(\sum_{c \in \mathit{cases(g)} \mathit{I(c)\)	"$\mathit{cases(g)$ returns the set of cases in group of cases $g$.
\newline $\mathit{I(c)$ returns the activity instance count of case $c$.
\\"
Expected Activity Instance count	T	G	\(\mathit{e\mathit{I(g)\)	\(\frac{\mathit{I(g)}{\mathit{C(g)}\)	"$\mathit{I(g)$ returns the activity instance count of group of cases $g$.
\newline $\mathit{C(g)$ returns the case count of group of cases $g$.
\\"
Automated Activity count (case granularity)	T	C	\(\mathit{Auta(c)\)	"\(\sum_{a \in \mathit{act(c)} 
\begin{cases}
1 & \text{if } a \text{ is automated} \\
0 & \text{otherwise}
\end{cases}\)"	$\mathit{act(c)$ returns the set of unique activities that occur in case $c$.\\
Automated Activity count (group of cases granularity)	T	G	\(\mathit{Auta(g)\)	"\(\sum_{a \in \mathit{act(g)} 
\begin{cases}
1 & \text{if } a \text{ is automated} \\
0 & \text{otherwise}
\end{cases}\)"	$\mathit{act(g)$ returns the set of unique activities that occur in group of cases $g$.\\
Expected Automated Activity count	T	G	\(\mathit{e\mathit{Auta(g)\)	\(\frac{\sum_{c \in \mathit{cases(g)} \mathit{Auta(c)}{\mathit{C(g)}\)	"$\mathit{cases(g)$ returns the set of cases in group of cases $g$.
\newline $\mathit{Auta(c)$ returns the automated activity count of case $c$.
\newline $\mathit{C(g)$ returns the case count of group of cases $g$.\\"
Automated activity Instance count (case granularity)	T	C	\(\mathit{Auti(c)\)	"\(\sum_{i \in \mathit{inst(c)}
\begin{cases}
1 & \text{if } \mathit{act(i) \text{ is automated} \\
0 & \text{otherwise}
\end{cases}\)"	"$\mathit{inst(c)$ returns the set of activity instances that occur in case $c$.
\newline $\mathit{act(i)$ returns the activity associated to activity instance $i$.\\"
Automated activity Instance count (group of cases granularity)	T	G	\(\mathit{Auti(g)\)	\(\sum_{c \in \mathit{cases(g)} \mathit{Auti(c)\)	"$\mathit{cases(g)$ returns the set of cases in group of cases $g$.
\newline $\mathit{Auti(c)$ returns the automated activity instance count of case $c$.\\"
Expected Automated Activity Instance Count (group of cases granularity)	T	G	\(\mathit{e\mathit{Auti(g)\)	\(\frac{\mathit{Auti(g)}{\mathit{C(g)}\)	"$\mathit{Auti(g)$ returns the automated activity instance count of group of cases $g$.
\newline $\mathit{C(g)$ returns the case count of group of cases $g$.\\"
Automated Activity Service Time (case granularity)	T	C	\(\mathit{AutST(c)\)	\(\sum_{i \in \mathit{inst(c),\, \mathit{act(i) \in \mathit{Autl} \mathit{ST(i)\)	"$\mathit{inst(c)$ returns the set of activity instances that occur in case $c$.
\newline $\mathit{act(i)$ returns the activity associated with activity instance $i$.
\newline $\mathit{Autl$ denotes the set of automated activities.
\newline $\mathit{ST(i)$ returns the service time of activity instance $i$.\\"
Automated Activity Service Time (group of cases granularity)	T	G	\(\mathit{AutST(g)\)	\(\sum_{c \in \mathit{cases(g)} \mathit{AutST(c)\)	"$\mathit{cases(g)$ returns the set of cases that belong to group of cases $g$.
\newline$\mathit{AutST(c)$ returns the automated activity service time of case $c$.\\"
Expected Automated Activity Service Time	T	G	\(\mathit{e\mathit{AutST(g)\)	\(\frac{\mathit{AutST(g)}{\mathit{C(g)}\)	"$\mathit{AutST(g)$ returns the automated activity service time of group of cases $g$.
\newline $\mathit{C(g)$ returns the case count of group of cases $g$.\\"
Case Percentage with Missed Deadline (group of cases granularity)	T	G	\(\mathit{CMDP(g, \mathit{val)\)	"\(\displaystyle \frac{
\sum_{c \in g}
\begin{cases}
1 & \text{if } \mathit{endt(c) > \mathit{val \\
0 & \text{otherwise}
\end{cases}
}{\mathit{C(g)}\)"	"\(\mathit{endt(c)\) returns the completion timestamp of case \(c\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Handover count (case granularity)	T	C	\(\mathit{H(c)\)	\(\sum_{i \in \mathit{inst(c)} \mathit{dres(i)\)	"Here, \(\mathit{inst(c)\) is the set of activity instances in case \(c\), \newline \(\mathit{dres(i)\) returns the number of distinct resources involved in the execution of activity instance \(i\). 
\newline The formula sums these values to obtain the total handovers in case \(c\). \\"
Expected Handover count (group of cases granularity)	T	G	\(\mathit{e\mathit{H(g)\)	\(\frac{\sum_{c \in g} \mathit{H(c)}{\mathit{C(g)}\)	"$g$ represents the group of cases under analysis.
\newline $\mathit{H(c)$ returns the handover count of case $c$.
\newline $\mathit{C(g)$ returns the case count of group of cases $g$.\\"
Idle Time (case granularity)	T	C	\(\mathit{IT(c)\)	"\(\sum_{i \in \mathit{inst(c)} 
\begin{cases}
\frac{\mathit{WT(i)}{|\mathit{concstr(i)|} & \text{if } \mathit{prevstr(i) = \emptyset \\
0 & \text{if } \mathit{prevstr(i) \neq \emptyset
\end{cases}\)"	"$\mathit{inst(c)$ returns the set of activity instances that occur in case $c$.
\newline $\mathit{WT(i)$ returns the waiting time of activity instance $i$.
\newline $\mathit{concstr(i)$ returns the set of concurrent structures (parallel branches) related to instance $i$.
\newline $\mathit{prevstr(i)$ returns the preceding structure of activity instance $i$.\\"
Expected Idle Time (group of cases granularity)	T	G	\(\mathit{e\mathit{IT(g)\)	\(\frac{\sum_{c \in g} \mathit{IT(c)}{\mathit{C(g)}\)	"$g$ represents the group of cases under analysis.
\newline $\mathit{IT(c)$ returns the idle time of case $c$.
\newline $\mathit{C(g)$ returns the case count of group of cases $g$.\\"
Lead Time (activity instance granularity)	T	I	\(\mathit{LT(i)\)	\(\mathit{ST(i) + \mathit{WT(i)\)	"$\mathit{ST(i)$ returns the service time of activity instance $i$, representing the time between its start and completion.
\newline $\mathit{WT(i)$ returns the waiting time of activity instance $i$, representing the idle period before the instance starts execution.\\"
Lead Time (activity granularity)	T	A	\(\mathit{LT(a)\)	\(\sum_{i \in \mathit{inst(a)} \mathit{LT(i)\)	"$\mathit{inst(a)$ returns the set of activity instances that belong to activity $a$.
\newline $\mathit{LT(i)$ returns the lead time of activity instance $i$.\\"
Lead Time (case granularity)	T	C	\(\mathit{LT(c)\)	\(\mathit{endt(c) - \mathit{startt(c)\)	"$\mathit{endt(c)$ returns the end timestamp of case $c$.
\newline $\mathit{startt(c)$ returns the start timestamp of case $c$.\\"
Lead Time (group of cases granularity)	T	G	\(\mathit{LT(g)\)	\(^{\mathit{max}_{c \in g} \mathit{endt(c) - ^{\mathit{min}_{c \in g} \mathit{startt(c)\)	"$\mathit{endt(c)$ returns the end timestamp of case $c$.
\newline $\mathit{startt(c)$ returns the start timestamp of case $c$.
\newline  $^{\mathit{max}_{c \in g}$ and $^{\mathit{min}_{c \in g}$ indicate that the maximum end time and minimum start time are taken across all cases in the group $g$.\\"
Expected Lead Time	T	G	\(\mathit{e\mathit{LT(g)\)	\(\frac{\sum_{c \in g} \mathit{LT(c)}{\mathit{C(g)}\)	"$\mathit{LT(c)$ returns the lead time of case $c$.
\newline $\mathit{C(g)$ returns the total number of cases in group $g$.
\newline The numerator $\sum_{c \in g} \mathit{LT(c)$ sums the lead times of all cases in $g$.\\"
Lead Time and Case Count Ratio (group of cases granularity)	T	G	\(\mathit{LTCR(g)\)	\(\frac{\mathit{LT(g)}{\mathit{C(g)}\)	"$\mathit{LT(g)$ returns the total lead time of group $g$.
\newline $\mathit{C(g)$ returns the total number of cases in group $g$.\\"
Lead Time Deviation from time Limit (case granularity)	T	C	\(\mathit{LTDL(c, val)\)	\(val - \mathit{LT(c)\)	"$\mathit{LT(c)$ returns the lead time of case $c$.
\newline $val$ represents the predefined time Limit for the case.
\newline The expression $|val - \mathit{LT(c)|$ measures the absolute deviation of the case lead time from its deadline.\\"
Expected Lead Time Deviation from time Limit	T	G	\(\mathit{e\mathit{LTDL(g, val)\)	\(\frac{\sum _{c \in g} \mathit{LTDL(c, \mathit{val)}{\mathit{C(g)}\)	"$\mathit{LTDL(c, \mathit{val)$ returns the lead time deviation from time Limit for case $c$.
\newline $\mathit{val$ represents the predefined time Limit.
\newline $\mathit{C(g)$ returns the number of cases in group $g$.\\"
Lead Time Deviation from Expectation (case granularity)	T	C	\(\mathit{LTDE(c, val)\)	\(|val - \mathit{LT(c)|\)	"\ $val$ represents the expected time value.
\newline $\mathit{LT(c)$ returns the lead time of case $c$.\\"
Expected Lead Time Deviation from Expectation	T	G	\(\mathit{e\mathit{LTDE(g, val)\)	\(\frac{\sum _{c \in g} \mathit{LTDE(c, \mathit{val)}{\mathit{C(g)}\)	"$\mathit{LTDE(c, \mathit{val)$ returns the lead time deviation from expectation of case $c$.
\newline $\mathit{C(g)$ returns the number of cases in group $g$.\\"
Lead Time from activity A (case granularity)	T	C	\(\mathit{LTfA(c, \mathit{a)\)	"\(\begin{cases}
\mathit{lt(any (\mathit{fi\mathit{^{s(c, \mathit{a), any (\mathit{endin(c))) & \mathit{if \  \mathit{fi\mathit{^{s(c, \mathit{a) \neq \emptyset \\
undefined & \mathit{if \  \mathit{fi\mathit{^{s(c, \mathit{a) = \emptyset
\end{cases}\)"	"$\mathit{fi\mathit{^{s(c, \mathit{a)$ returns the set of first started instances of activity $\mathit{a$ in case $c$.
\newline $\mathit{endin(c)$ returns the final activity instance of case $c$.
\newline $\mathit{lt(x, y)$ returns the lead time from activity instance $x$ to $y$.\\"
Expected Lead Time from activity A	T	G	\(\mathit{e\mathit{LTfA(g, \mathit{a)\)	"\(\frac{\sum _{c \in g} \begin{cases}
\mathit{LTfA(c, \mathit{a) & \mathit{if \  \mathit{fi\mathit{^{s(c, \mathit{a) \neq \emptyset \\
0 & \mathit{if \  \mathit{fi\mathit{^{s(c, \mathit{a) = \emptyset
\end{cases}}{
\sum_{c \in \mathit{cases(g)} 
\begin{cases}
1 & \text{if } \mathit{fi\mathit{^{s(c, \mathit{a) \neq \emptyset \\
0 & \text{otherwise}
\end{cases}
}\)"	"$\mathit{fi\mathit{^{s(c, \mathit{a)$ returns the set of first started instances of activity $\mathit{a$ in case $c$.
\newline $\mathit{LTfA(c, \mathit{a)$ returns the lead time from the first started instance of activity $\mathit{a$ in case $c$ to the end of case $c$.
\\"
Lead Time from activity A to activity B (case granularity)	T	C	\(\mathit{LTAB(c, \mathit{a, \mathit{b)\)	"\(\begin{cases}
\mathit{lt(x,y) & \mathit{for~any \  x \in \mathit{fi\mathit{^{s(c, \mathit{a) \mathit{\ and \  y \in \mathit{fi(c, \mathit{a, \mathit{b) \\
undefined & \mathit{if \  \mathit{fi(c, \mathit{a, \mathit{b) = \emptyset
\end{cases}\)"	"$\mathit{fi\mathit{^{s(c, \mathit{a)$ returns the set of first started instances of activity $\mathit{a$ in case $c$.
\newline $\mathit{fi(c, \mathit{a, \mathit{b)$ returns the first instance of activity $\mathit{b$ occurring after the first started instance of activity $\mathit{a$ in case $c$.
\newline $\mathit{lt(x,y)$ returns the lead time between activity instances $x$ and $y$.\\"
Expected Lead Time from activity A to activity B	T	G	\(\mathit{e\mathit{LTAB(g, a, b)\)	"\[
\frac{
\sum_{c \in \mathit{cases(g)} 
\begin{cases}
\mathit{LTAB(c, a, b) & \text{if } \mathit{fi(c, \mathit{a, \mathit{b) \neq \emptyset \\
0 & \text{otherwise}
\end{cases}
}{
\sum_{c \in \mathit{cases(g)} 
\begin{cases}
1 & \text{if } \mathit{fi(c, \mathit{a, \mathit{b)  \neq \emptyset \\
0 & \text{otherwise}
\end{cases}
}
\]

\(\mathit{cases(g)\): Set of all cases belonging to group \(g\)."	"\(\mathit{LTAB(c, a, b)\): Lead time between activity \(a\) and activity \(b\) within case \(c\).
\newline
\(\mathit{fi(c, \mathit{a, \mathit{b)\): Function that returns the flow instance between \(a\) and \(b\) in case \(c\). If empty, the pair \((a, b)\) does not occur in \(c\). \\"
Lead Time to activity A (case granularity)	T	C	\(\mathit{LTtA(c, \mathit{a)\)	"\(\begin{cases}
\mathit{lt(x, y) & \mathit{for~any \  x \in \mathit{strin(c) \mathit{\ and \  y \in \mathit{fi\mathit{^{c(c, \mathit{a) \\
undefined & \mathit{if \  \mathit{fi\mathit{^{c(c, \mathit{a) = \emptyset
\end{cases}\)"	"$\mathit{strin(c)$ returns the activity instance that starts case $c$.
\newline $\mathit{fi\mathit{^{c(c, \mathit{a)$ returns the first completed instance of activity $\mathit{a$ in case $c$.
\newline $\mathit{lt(x, y)$ returns the lead time between activity instances $x$ and $y$.\\"
Expected Lead Time to activity A	T	G	\(\mathit{e\mathit{LTtA(g, \mathit{a)\)	"\(\displaystyle \frac{\sum_{c \in g} 
\begin{cases} 
\mathit{LTtA(c, \mathit{a) & \mathit{if \  \mathit{fi\mathit{^{c(c, \mathit{a) \neq \emptyset \\ 
0 & \mathit{if \  \mathit{fi\mathit{^{c(c, \mathit{a) = \emptyset 
\end{cases}}
{
\sum_{c \in \mathit{cases(g)} 
\begin{cases}
1 & \text{if } \mathit{fi\mathit{^{c(c, \mathit{a) \neq \emptyset \\
0 & \text{otherwise}
\end{cases}
}\)"	"\(\mathit{LTtA(c, \mathit{a)\) returns the lead time from the start of case \(c\) to the first completed instance of activity \(\mathit{a\) in case \(c\).
\newline \(\mathit{fi\mathit{^{c(c, \mathit{a)\) returns the set of first completed instances of activity \(\mathit{a\) in case \(c\).
\newline \(\left| \{ c \in g \mid \mathit{fi\mathit{^{c(c, \mathit{a) \neq \emptyset \} \right|\) returns the number of cases in group \(g\) where activity \(\mathit{a\) occurs at least once (i.e., cases with a non-empty \(\mathit{fi\mathit{^{c(c, \mathit{a)\)).\\"
Service and Lead Time Ratio (activity instance granularity)	T	I	\(\mathit{SLTR(i)\)	\(\frac{\mathit{ST(i)}{\mathit{LT(i)}\)	"\(\mathit{ST(i)\) returns the service time of activity instance \(i\).
\newline \(\mathit{LT(i)\) returns the lead time of activity instance \(i\). \\"
Service and Lead Time Ratio (activity instance granularity)	T	I	\(\mathit{SLTR(i)\)	\(\frac{\mathit{ST(i)}{\mathit{LT(i)}\)	"\(\mathit{ST(i)\) returns the service time of activity instance \(i\).
\newline \(\mathit{LT(i)\) returns the lead time of activity instance \(i\). \\"
Service and Lead Time Ratio (activity granularity)	T	A	\(\mathit{SLTR(a)\)	\(\frac{\mathit{ST(a)}{\mathit{LT(a)}\)	"\(\mathit{ST(a)\) returns the total service time accumulated across all instances of activity \(a\).
\newline \(\mathit{LT(a)\) returns the total lead time of activity \(a\). \\"
Service and Lead Time Ratio (case granularity)	T	C	\(\mathit{SLTR(c)\)	\(\frac{\mathit{ST(c)}{\mathit{LT(c)}\)	"\(\mathit{ST(c)\) returns the total service time of case \(c\).
\newline \(\mathit{LT(c)\) returns the total lead time of case \(c\). \\"
Service and Lead Time Ratio (group of cases granularity)	T	G	\(\mathit{SLTR(g)\)	\(\frac{\mathit{ST(g)}{\mathit{LT(g)}\)	"\(\mathit{ST(g)\) returns the total service time accumulated across all cases in group \(g\).
\newline \(\mathit{LT(g)\) returns the total lead time accumulated across all cases in group \(g\). \\"
Expected Service and Lead Time Ratio	T	G	\(\mathit{e\mathit{SLTR(g)\)	\(\frac{\mathit{ST(g)}{\sum _{c \in g} \mathit{LT(c)}\)	"\(\mathit{ST(g)\) returns the total service time accumulated across all cases in group \(g\).
\newline \(\mathit{LT(c)\) returns the total lead time of case \(c\). \\"
Service Time (activity instance granularity)	T	I	\(\mathit{ST(i)\)	\(\mathit{ctime(i) - \mathit{stime(i)\)	"\(\mathit{ctime(i)\) returns the completion timestamp of activity instance \(i\).
\newline \(\mathit{stime(i)\) returns the start timestamp of activity instance \(i\). \\"
Service Time (activity granularity)	T	A	\(\mathit{ST(a)\)	\(\sum _{i \in \mathit{inst(a)} \mathit{ST(i)\)	"\(\mathit{inst(a)\) returns the set of all instances of activity \(a\).
\newline \(\mathit{ST(i)\) returns the service time of activity instance \(i\). \\"
Service Time (case granularity)	T	C	\(\mathit{ST(c)\)	\(\sum _{i \in \mathit{inst(c)} \mathit{ST(i)\)	"\(\mathit{inst(c)\) returns the set of all activity instances in case \(c\).
\newline \(\mathit{ST(i)\) returns the service time of activity instance \(i\). \\"
Service Time (group of cases granularity)	T	G	\(\mathit{ST(g)\)	\(\sum _{c \in g} \mathit{ST(c)\)	\(\mathit{ST(c)\) returns the total service time of case \(c\). \\
Expected Service Time	T	G	\(\mathit{e\mathit{ST(g)\)	\(\frac{\mathit{ST(g)}{\mathit{C(g)}\)	"\(\mathit{ST(g)\) returns the total service time accumulated across all cases in group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Service Time from activity A to activity B (case granularity)	T	C	\(\mathit{STAB(c, \mathit{a, \mathit{b)\)	\(\begin{cases} \mathit{st(x, y) & \mathit{for~any \  x \in \mathit{fi\mathit{^{s(c, \mathit{a) \mathit{\ and \  y \in \mathit{fi(c, \mathit{a, \mathit{b) \\ undefined & \mathit{if \  \mathit{fi(c, \mathit{a, \mathit{b) = \emptyset \end{cases}\)	"\(\mathit{st\) returns the service time between activity instance \(x\) and activity instance \(y\).
\newline \(\mathit{fi\mathit{^{s\) returns the set of first started instances of activity \(\mathit{a\) in case \(c\).
\newline \(\mathit{fi\) returns the set of first instances of activity \(\mathit{b\) that occur after the first instance of \(\mathit{a\) in case \(c\). \\"
Service Time from activity A to activity B (group of cases granularity)	T	G	\(\mathit{STAB(g, \mathit{a, \mathit{b)\)	\(\sum _{c \in g} \begin{cases} \mathit{STAB(c, \mathit{a, \mathit{b) & \mathit{if \  \mathit{fi(c, \mathit{a, \mathit{b) \neq \emptyset \\ 0 & \mathit{if \  \mathit{fi(c, \mathit{a, \mathit{b) = \emptyset \end{cases}\)	"\(\mathit{STAB\) returns the service time from activity \(\mathit{a\) to activity \(\mathit{b\) in case \(c\).
\newline \(\mathit{fi\) returns the set of first instances of activity \(\mathit{b\) that occur after the first instance of \(\mathit{a\) in case \(c\). \\"
Expected Service Time from activity A to activity B	T	G	\(\mathit{e\mathit{STAB(g, \mathit{a, \mathit{b)\)	\(\frac{\mathit{STAB(g, \mathit{a, \mathit{b)}{|\{c \in g \mid \mathit{fi(c, \mathit{a, \mathit{b) \neq \emptyset\}|}\)	"\(\mathit{STAB\) returns the total service time from activity \(\mathit{a\) to activity \(\mathit{b\) accumulated across all cases in group \(g\).
\newline \(\mathit{fi\) returns the set of first instances of activity \(\mathit{b\) that occur after the first instance of \(\mathit{a\) in case \(c\). \\"
Waiting Time (activity instance granularity)	T	I	\(\mathit{WT(i)\)	\(\begin{cases} \mathit{stime(i) - \mathit{ctime(x) & \mathit{for~any \  x \in \mathit{prev(i) \\ 0 & \mathit{if \  \mathit{prev(i) = \emptyset \end{cases}\)	"\(\mathit{stime(i)\) returns the start timestamp of activity instance \(i\).
\newline \(\mathit{ctime(x)\) returns the completion timestamp of activity instance \(x\).
\newline \(\mathit{prev(i)\) returns the set of preceding activity instances to instance \(i\). \\"
Waiting Time (activity granularity)	T	A	\(\mathit{WT(a)\)	\(\sum _{i \in \mathit{inst(a)} \mathit{WT(i)\)	"\(\mathit{inst(a)\) returns the set of all instances of activity \(a\).
\newline \(\mathit{WT(i)\) returns the waiting time of activity instance \(i\). \\"
Waiting Time (case granularity)	T	C	\(\mathit{WT(c)\)	\(\sum _{i \in \mathit{inst(c)} \mathit{WT(i)\)	"\(\mathit{inst(c)\) returns the set of all activity instances in case \(c\).
\newline \(\mathit{WT(i)\) returns the waiting time of activity instance \(i\). \\"
Expected Waiting Time	T	G	\(\mathit{e\mathit{WT(g)\)	\(\frac{\sum _{c \in g} \mathit{WT(c)}{\mathit{C(g)}\)	"\(\mathit{WT(c)\) returns the total waiting time of case \(c\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Waiting Time from activity A to activity B (case granularity)	T	C	\(\mathit{WTAB(c, \mathit{a, \mathit{b)\)	\(\begin{cases} \mathit{wt(x, y) & \mathit{for~any \  x \in \mathit{fi\mathit{^{s(c, \mathit{a) \mathit{\ and \  y \in \mathit{fi(c, \mathit{a, \mathit{b) \\ undefined & \mathit{if \  \mathit{fi(c, \mathit{a, \mathit{b) = \emptyset \end{cases}\)	"\(\mathit{wt\) returns the waiting time between activity instance \(x\) and activity instance \(y\).
\newline \(\mathit{fi\mathit{^{s\) returns the set of first started instances of activity \(\mathit{a\) in case \(c\).
\newline \(\mathit{fi\) returns the set of first instances of activity \(\mathit{b\) that occur after the first instance of \(\mathit{a\) in case \(c\). \\"
Expected Waiting Time from activity A to activity B	T	G	\(\mathit{e\mathit{WTAB(g, \mathit{a, \mathit{b)\)	"\(\displaystyle \frac{\sum _{c \in g} \begin{cases}
\mathit{WTAB(c, \mathit{a, \mathit{b) & \mathit{if \  \mathit{fi(c, \mathit{a, \mathit{b) \neq \emptyset \\
0 & \mathit{if \  \mathit{fi(c, \mathit{a, \mathit{b) = \emptyset
\end{cases}}{
\sum_{c \in g}
\begin{cases}
1 & \text{if } \mathit{fi(c, \mathit{a, \mathit{b) \neq \emptyset \\
0 & \text{otherwise}
\end{cases}
}\)"	"\(\mathit{WTAB\) returns the waiting time from activity \(\mathit{a\) to activity \(\mathit{b\) in case \(c\).
\newline \(\mathit{fi\) returns the set of first instances of activity \(\mathit{b\) that occur after the first instance of \(\mathit{a\) in case \(c\). \\"
Automated Activity Cost (case granularity)	C	C	\(\mathit{AutC(c)\)	\(\sum _{i \in \mathit{inst(c), \mathit{act(i) \in \mathit{Autl} \mathit{TC(i)\)	"\(\mathit{inst(c)\) returns the set of all activity instances in case \(c\).
\newline \(\mathit{act(i)\) returns the activity of activity instance \(i\).
\newline \(\mathit{Autl\) returns the set of automated activities.
\newline \(\mathit{TC(i)\) returns the cost of activity instance \(i\). \\"
Automated Activity Cost (group of cases granularity)	C	G	\(\mathit{AutC(g)\)	\(\sum _{c \in g} \mathit{AutC(c)\)	\(\mathit{AutC(c)\) returns the automated activity cost for case \(c\). \\
Expected Automated Activity Cost	C	G	\(\mathit{e\mathit{AutC(g)\)	\(\frac{\mathit{AutC(g)}{\mathit{C(g)}\)	"\(\mathit{AutC(g)\) returns the total automated activity cost for group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
